ID,Is_Lead
VBENBARO,0.0425
CCMEWNKY,0.8737
VK3KGA9M,0.065
TT8RPZVC,0.0218
SHQZEYTZ,0.0219
MZZAQMPT,0.0722
Y88TW36I,0.1025
3UGOAQNU,0.0536
VVUKMUJT,0.9912
9R363ZXS,0.1501
BLISM6JE,0.0563
CH8S7JK7,0.2262
EAHDPXEJ,0.8369
BNUK9PRF,0.3215
GP2PG6FJ,0.0546
WNQCSN8A,0.0376
32DN4YVZ,0.4509
GXAMDANM,0.0536
MXETLUP4,0.0782
MPXK6TVE,0.8179
LBSIME2K,0.1626
D6ORJTM6,0.0544
HGDIBAKA,0.8161
UUZYL9DZ,0.4366
AUGE3VWK,0.0515
MX7GOX6Q,0.0911
TQN6K35W,0.0613
QQDRMQQN,0.4532
UP6GC6F4,0.0536
BMHBUVHB,0.6256
KGLDW86A,0.1541
FQEOMOP4,0.1152
DYWM5MEU,0.174
DXHGXV8F,0.0543
AVFBFQKC,0.1671
DBIDKYMV,0.1303
KYZHMEBY,0.2447
SSFEBUGF,0.0528
MGJTAG8X,0.5081
MP6BERDO,0.1306
GXZ8ED68,0.047
ICTFGWQR,0.7073
EAYHTRKH,0.0225
6FN97QLQ,0.0926
3H5MZDDW,0.365
2DXZZWSN,0.0349
MM4QIRE5,0.0727
HJWVYXUA,0.1434
RBRSJUP3,0.841
YFRQKGXW,0.4429
N3SADEBV,0.0732
G2A2YYXY,0.043
XMGA3WT3,0.0663
KVZQPSGI,0.1942
UAKARBBG,0.0422
WYKKL85Z,0.1818
GHNYYGRR,0.0989
UBAJANWT,0.0535
LSARSF7U,0.0172
4CNSJVVR,0.222
JRHJSWYO,0.2487
FHZ8SVVI,0.0711
JUIRE47M,0.8663
GDIVN2GL,0.0609
WMF3DYE3,0.8055
MAQEHEWK,0.1611
2W8DLKFU,0.0519
AKGRML6H,0.1038
B7WUUGCY,0.0429
TLJOYATM,0.4384
UH6ZDM3W,0.8555
7IP5SSRR,0.7787
PV85PMEB,0.4887
FGDOY4NI,0.115
7YYIXJQE,0.0579
BHW42XPW,0.0534
3PKEEAT4,0.2924
ACFPZ3LM,0.0509
6GORGNYN,0.8278
AEPQTMJK,0.2343
S6FNZFKK,0.0538
JTYNEKRQ,0.6597
GPXDPHHC,0.0589
O8TMKNNB,0.0556
XSQVHKYG,0.0513
MJ3CZRAE,0.024
3NSQEYBJ,0.403
SXVBASGH,0.0535
5ZIGZYSS,0.0657
FQSHBCUT,0.3259
MU45XUBP,0.0546
BVULDPBI,0.0623
82GRNPFG,0.832
KKBNELBF,0.0388
HXQGBDGY,0.0505
28HDZICG,0.5398
GHBPKPJC,0.0505
FDWZFSSC,0.8462
FWTIWZF3,0.0538
JYMHVPMY,0.0446
AHUDO2T6,0.8393
ACDHABS3,0.2364
5NTYJJDV,0.0694
2M4VPY4V,0.0887
KAHP9XLF,0.0836
YRLEWZFQ,0.0942
JZWVLXHJ,0.209
JZZSXUKT,0.2667
93RURE2J,0.8652
4RNB6FDV,0.2605
27E7HMMG,0.0865
2QEFQQWN,0.0437
DDTCD2XI,0.0773
VGVEYSEG,0.8482
WCXVE7RK,0.0467
RTN4R3UE,0.0337
K2PVS4RB,0.049
Q36J686Z,0.1111
NWKHMEOF,0.1376
PVJYQQGT,0.2801
GPUMRNWC,0.0541
LXHCDSVH,0.1503
BNIUPSVK,0.0665
FW3QI3WW,0.0854
IEEUGXMY,0.8603
FVVXDLBO,0.0548
UC2JJB6Y,0.0792
3WPAHP52,0.4689
HDTCJJOE,0.5145
UCSB9GKK,0.0637
HANBFYTH,0.1076
FLUU2HNV,0.0538
64PIYWDJ,0.2
9AHNH8ZX,0.8608
KLHUI2SE,0.0575
YRHYUJFW,0.8496
G5RWWH7F,0.1419
SCBT9BAX,0.0168
UGZGLVNB,0.2655
2RRNUFBV,0.8523
B6O59TEY,0.4661
CYHRRYH6,0.0543
GGYZVHWU,0.0732
K6AM97RN,0.0666
ATM5JQYM,0.0678
7GYZSGWA,0.0511
DFWUDQCR,0.16
E2Z98CR3,0.8381
GD9KTSLY,0.0542
2AMRA4OD,0.0994
CFHZ3ZE6,0.49
BOMLVM5K,0.0529
OBBEGBSY,0.4486
FJEHOK8W,0.046
3GMAEVPJ,0.0994
WAVDLUTH,0.0519
6EN8GZX6,0.1027
VXGA3GKB,0.1611
U4MZ3U8C,0.5
GU4RDP8S,0.8444
N3TPNHCD,0.094
JRRHWQC8,0.6007
NZ5GBHZK,0.0437
LCUC2LAJ,0.8322
DJDSU9D2,0.9834
647K6DBR,0.0614
7NFXVESK,0.0614
EWUWF25N,0.0531
7QKYPLA8,0.0509
XQVXWBNO,0.0567
CNWH4MVA,0.056
AFJUJFQD,0.0775
QKMFDX9H,0.1573
YYMB5QBY,0.0862
IRY3SEX7,0.2456
CUAUZJH8,0.1878
JYFUYQF5,0.3313
I4NYEDFE,0.472
M3RSPRGQ,0.1419
JIL3KWQN,0.1198
X4B5ZBWU,0.1349
AHYTHHSE,0.053
E7EHQEQK,0.3912
FAMHAVN3,0.8386
CCGKCTR6,0.0628
6DTSELRV,0.0555
LU8X3G6O,0.261
NPFDAUJY,0.0527
DR9PXCFU,0.021
SHVZMWBV,0.0569
8TGXGZHX,0.2128
IKRSHJFW,0.1556
TYKRZDCP,0.511
9IDA3L7P,0.097
ASOWCMDB,0.0538
KZ5J2JGC,0.8409
D5UCFKTV,0.0536
2N8FFP7W,0.0435
SA36MTFS,0.0253
8UDMURUH,0.1174
7VSQV6QN,0.1354
IFUG9NC5,0.0538
EQXDLQRG,0.1839
JAR8YY9J,0.1025
BS4TAF6M,0.0518
WQJ9SPT9,0.8284
7QHT4ON2,0.0544
FNGPQN7B,0.1232
DDOMDZRU,0.5856
QYR9HXHP,0.236
S4NGXFXY,0.0183
NOJ2KSCC,0.844
ZD2JRUNB,0.4305
GZIPTSNN,0.0532
LCFYUVE9,0.8377
PPANVU9W,0.0509
DRPV9STB,0.0745
AFSPF3WZ,0.9935
GPXEUNND,0.8463
NSADMDSM,0.0564
CKWJU8RQ,0.5451
F7MNZSSU,0.053
BDGVMPZY,0.5463
IA3MSRTR,0.0795
JD3WTPMG,0.2931
QT6DF6EW,0.7964
NVDEMCZ2,0.0558
9B6UTJVT,0.0656
U6QYES9J,0.0167
DZQPDSPS,0.1508
CRGXVSBF,0.8618
XIHJYS2V,0.5453
7X2MC5GZ,0.8427
ZBDVXTM5,0.0608
UUBQPBR5,0.0715
CUMZFBTD,0.0971
E7QXYSQN,0.0189
6UQAJP48,0.0683
QHWB768Y,0.0541
R6RXMXOJ,0.1679
WXQGZG5K,0.0327
GCUFKLHG,0.0737
SJX4372M,0.0541
VGEAMUZZ,0.1005
ZWDXVKDF,0.8394
WGMRCYLR,0.0436
SI43K5CY,0.0943
DSNBS2RS,0.1536
XIMZCKSR,0.3657
VEW9FXHT,0.0173
JZJHDDDJ,0.4489
4TYUR5HA,0.425
UHCDFDRX,0.2202
E5QMOFUM,0.1046
PSNVWDZH,0.0593
5IQSWONG,0.0621
CEAZEPY4,0.9925
2TNRJXRX,0.021
BFROCARA,0.0506
GRTJMRKM,0.0169
6EDAM4EU,0.0934
NRDB58KL,0.0497
TCPJCWZR,0.0416
KG8LD2BE,0.0353
FHZ3XFDV,0.1926
NZKCSDZ4,0.2166
6DG6KJG4,0.0544
BVPKDUNU,0.303
APR4PQ6X,0.0437
HPWS8YFG,0.1189
VRPBGTPU,0.0585
XBCSX7G7,0.0428
KEH3G8UA,0.1502
WXNAVFLT,0.0523
8J8NJ7M6,0.0939
D4UW7Y85,0.0558
SZRESXN7,0.053
UUQSXK5T,0.0535
GPMUKOVY,0.3482
6FYOKAZ5,0.1612
